id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
121288,"Dixit: Journey",2012,874,6.7165,7.38029,4719,0,,,,,35,,,
158435,"Dogs of War",2014,875,6.71563,7.52265,3656,0,,,,,,491,,
20963,"Fury of Dracula (Second Edition)",2005,876,6.71525,7.07992,9447,0,,,,,,,223,
232219,"Dragon Castle",2017,877,6.71494,7.09757,8319,0,46,,,232,,,,
316546,"Clever Cubed",2020,878,6.71327,7.46725,3857,0,,,,201,,,,
255692,"New Frontiers",2018,879,6.71277,7.38527,4272,0,,,,,,506,,
134726,"Smash Up: Awesome Level 9000",2013,880,6.71268,7.20776,7197,0,,,,242,,593,,
11825,"Empire of the Sun: The Pacific War 1941-1945",2005,881,6.71228,8.25701,2161,0,,,,,,,,8
351817,"Marvel Zombies: A Zombicide Game",2023,882,6.71164,7.935,2786,0,,,,,,,138,
434906,"Tag Team",2025,883,6.71144,7.67197,3212,0,,,,206,,,,
143515,"Coal Baron",2013,884,6.7111,7.26167,5363,0,,,,,,529,,
223770,Startups,2017,885,6.71077,7.17887,6414,0,,,,226,,,,
73761,K2,2010,886,6.70962,6.99726,10993,0,,,,262,,,249,
2453,Blokus,2000,887,6.70942,6.86099,29477,0,61,,,,,,,
15512,Diamant,2005,888,6.7092,6.84729,23996,0,,,,279,70,,,
168435,"Between Two Cities",2015,889,6.70848,6.96766,11778,0,,,,260,,,,
242574,"Century: Eastern Wonders",2018,890,6.70807,7.0989,8013,0,,,,233,,,,
367518,"Imperium: Horizons",2024,891,6.70776,8.49362,1714,0,,,,,,438,,
40628,Finca,2009,892,6.70759,7.06931,8386,0,,,,234,,,,
72321,"The Networks: Primetime",2016,893,6.70571,7.1316,6896,0,,,,,,567,,
264052,"Circadians: First Light",2019,894,6.70438,7.52043,3575,0,,,,,,495,,
21882,"Blue Moon City",2006,895,6.70426,7.03913,8991,0,,,,246,,585,,
241724,Villagers,2019,896,6.70389,7.10675,8223,0,,,,252,,589,,
226320,"My Little Scythe",2018,897,6.70387,7.19999,6328,0,,,,228,,,,
253499,"A War of Whispers",2019,898,6.70351,7.28557,5180,0,,,,,,545,,
162007,"Steampunk Rally",2015,899,6.7026,7.13131,7167,0,,,,240,,584,,
244331,"Blue Lagoon",2018,900,6.70242,7.20484,5780,0,27,,,218,,,,
65532,"Defenders of the Realm",2010,901,6.702,7.26565,5550,0,,,,,,,196,
382843,Evacuation,2023,902,6.70123,7.49152,3677,0,,,,,,501,,
87890,Prêt-à-Porter,2010,903,6.70079,7.26304,5253,0,,,,,,537,,
218333,"Rhino Hero: Super Battle",2017,904,6.70076,7.20673,5950,0,,,9,223,,,,
16747,"Tumblin' Dice",2004,905,6.70065,7.25828,5135,0,,,,215,41,,,
51,"Ricochet Robots",1999,906,6.70021,7.03758,9714,0,51,,,,,,,
314503,"Codex Naturalis",2021,907,6.70018,7.21985,6281,0,,,,227,,,,
244228,Reef,2018,908,6.69994,6.99606,10432,0,,,,257,,,,
372559,Spots,2022,909,6.69968,7.12765,7457,0,,,,248,,,,
393672,"Gloomhaven: Buttons & Bugs",2024,910,6.69922,7.50789,3920,0,,,,,,550,,
276498,"Paris: La Cité de la Lumière",2019,911,6.69892,7.21633,6094,0,32,,,,,,,
181521,"Warhammer Quest: The Adventure Card Game",2015,912,6.69858,7.30428,5631,0,,,,,,,195,
155624,"Specter Ops",2015,913,6.69846,7.1493,6607,0,,,,,,573,208,
422541,"Star Trek: Captain's Chair",2025,914,6.69809,8.66454,1587,0,,,,,,446,105,
173064,"Leaving Earth",2015,915,6.69697,7.7081,3009,0,,,,,,512,154,
373600,"Cthulhu: Death May Die – Fear of the Unknown",2024,916,6.69689,8.73088,1547,0,,,,,,,89,
358737,"Leviathan Wilds",2024,917,6.69534,7.87271,2507,0,,,,,,489,141,
393325,"Captain Flip",2024,918,6.69522,7.1455,6767,0,,,,231,,,,
8125,Santiago,2003,919,6.69363,7.19023,5721,0,,,,,,543,,
303731,"Primal: The Awakening",2024,920,6.6935,8.55635,1832,0,,,,,,478,106,
150997,"Shadows of Brimstone: Swamps of Death",2014,921,6.69297,8.01311,2520,0,,,,,,,130,
15364,"Vegas Showdown",2005,922,6.6929,7.13494,6524,0,,,,,,566,,
300877,"New York Zoo",2020,923,6.69265,7.0044,10032,0,,,,259,,,,
342444,"Black Rose Wars: Rebirth",2023,924,6.69253,8.39709,2047,0,,,,,,483,,
169654,"Deep Sea Adventure",2014,925,6.69149,6.87029,20694,0,,,,288,,,,
22345,Yspahan,2006,926,6.69024,7.04332,8278,0,,,,,,579,,
73171,"Earth Reborn",2010,927,6.6902,7.59404,3389,0,,,,,,,159,
160495,ZhanGuo,2014,928,6.68991,7.5247,3376,0,,,,,,493,,
214887,"CO₂: Second Chance",2018,929,6.68935,7.47614,3747,0,,,,,,520,,
352418,Fliptown,2023,930,6.68898,7.74815,2703,0,,,,,,500,,
68425,"Eminent Domain",2011,931,6.68888,6.96394,10726,0,,,,,,608,,
9823,"Advanced Squad Leader: Starter Kit #1",2004,932,6.68853,7.8411,2776,0,,,,,,,,27
214029,"SpaceCorp: 2025-2300AD",2018,933,6.68846,7.6672,3032,0,,,,,,511,,
407297,"River Valley Glassworks",2024,934,6.68822,7.309,4880,0,37,,,224,,,,
387780,"Rats of Wistar",2023,935,6.68755,7.47775,3726,0,,,,,,521,,
