games_id,name,yearpublished,rank,average,usersrated,abstracts_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,images,thumbnails,prices
224517,Brass: Birmingham,2018,1,8.56668,57414,0.0,0.0,0.0,1.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/29/img_25329_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/29/img_25329_THUMBNAIL.png,68.48
342942,Ark Nova,2021,2,8.54234,59892,0.0,0.0,0.0,2.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/49/img_40549_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/49/img_40549_THUMBNAIL.png,64.97
161936,Pandemic Legacy: Season 1,2015,3,8.50414,57165,0.0,0.0,0.0,3.0,1.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/60/img_13360_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/60/img_13360_THUMBNAIL.png,84.99
174430,Gloomhaven,2017,4,8.54302,66842,0.0,0.0,0.0,5.0,2.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/50/img_19450_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/50/img_19450_THUMBNAIL.png,247.43
397598,Dune: Imperium – Uprising,2023,5,8.70499,17449,0.0,0.0,0.0,4.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/15/img_45415_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/15/img_45415_THUMBNAIL.png,65.0
316554,Dune: Imperium,2020,6,8.41395,57615,0.0,0.0,0.0,7.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/37/img_37337_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/37/img_37337_THUMBNAIL.png,54.98
233078,Twilight Imperium: Fourth Edition,2017,7,8.56495,28083,0.0,0.0,0.0,6.0,4.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/16/img_21516_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/16/img_21516_THUMBNAIL.png,139.99
115746,War of the Ring: Second Edition,2011,8,8.55252,24869,0.0,0.0,0.0,0.0,3.0,1.0,https://d2qg6c07ydxh2f.cloudfront.net/items/0/img_1200_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/0/img_1200_THUMBNAIL.png,89.97
167791,Terraforming Mars,2016,9,8.33925,112182,0.0,0.0,0.0,8.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/55/img_15555_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/55/img_15555_THUMBNAIL.png,64.47
187645,Star Wars: Rebellion,2016,10,8.42142,36112,0.0,0.0,0.0,0.0,5.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_16731_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_16731_THUMBNAIL.png,95.99
